timestamp,adjclose,open,high,volume,low,close,crypto,very_poor,poor,neutral,good,excellent,pct_change,volatility
2020-06-29 00:00:00,0.8524540066719055,0.7984949946403503,0.8853390216827393,2147791,0.7700089812278748,0.8524540066719055,SOL,4,14,59,17,4,6.757589264020214,5.847838334346239
2020-06-30 00:00:00,0.8600940108299255,0.8530219793319702,1.0291759967803955,3887548,0.8501039743423462,0.8600940108299255,SOL,4,14,62,20,4,0.8962365239912007,5.793263927174492
2020-07-01 00:00:00,0.8326420187950134,0.8633639812469482,0.9017149806022644,1772560,0.8209270238876343,0.8326420187950134,SOL,4,16,62,16,4,-3.1917431919358474,5.119227238721455
2020-07-02 00:00:00,0.7802190184593201,0.8321160078048706,0.8371269702911377,1749581,0.7536680102348328,0.7802190184593201,SOL,5,14,55,17,7,-6.29598304581831,5.427429808228886
2020-07-03 00:00:00,0.7680929899215698,0.7820360064506531,0.7860350012779236,1144958,0.7551130056381226,0.7680929899215698,SOL,5,14,59,18,5,-1.5541826398560832,5.463672082138244
2020-07-04 00:00:00,0.7803720235824585,0.7679409980773926,0.8231549859046936,1644301,0.761451005935669,0.7803720235824585,SOL,5,14,62,21,4,1.5986389437224968,5.340721581499172
2020-07-05 00:00:00,0.6916639804840088,0.7801010012626648,0.7855470180511475,3799016,0.6426349878311157,0.6916639804840088,SOL,5,16,62,17,4,-11.36740431713802,6.010846112962027
2020-07-06 00:00:00,0.7079079747200012,0.6916639804840088,0.721045970916748,1120773,0.6865800023078918,0.7079079747200012,SOL,4,14,61,22,4,2.348538408003442,6.007658583108946
2020-07-07 00:00:00,0.7530480027198792,0.7078580260276794,0.7808930277824402,1700041,0.7019219994544983,0.7530480027198792,SOL,5,17,61,16,4,6.3765389869682165,6.102516394325588
2020-07-08 00:00:00,0.7967129945755005,0.7530480027198792,0.8275229930877686,2220223,0.7434110045433044,0.7967129945755005,SOL,3,13,55,20,9,5.798434057046964,6.061716646594154
